1995-01-04,1,10,10,10,10,200
24hrTicker,1641401710012,BTCUSDT,-525.42000000,-1.121,46314.24485461,46862.86000000,46337.44000000,0.01553000,46337.43000000,1.03769000,46337.44000000,0.02585000,46862.86000000,47070.00000000,45500.00000000,29534.00809000,1367845282.21814690,1641315309993,1641401709993,1210690135,1211618970,928836
24hrTicker,1641401711001,BTCUSDT,-525.42000000,-1.121,46314.24479840,46862.86000000,46337.44000000,0.01965000,46337.43000000,1.05580000,46337.44000000,0.02282000,46862.86000000,47070.00000000,45500.00000000,29534.00901000,1367845323.16724770,1641315310988,1641401710988,1210690136,1211618974,928839
24hrTicker,1641401712016,BTCUSDT,-525.41000000,-1.121,46314.24394226,46862.85000000,46337.44000000,0.01965000,46337.43000000,0.02580000,46337.44000000,2.04884000,46862.85000000,47070.00000000,45500.00000000,29533.96292000,1367843163.25847530,1641315311926,1641401711926,1210690140,1211618974,928835
24hrTicker,1641401713016,BTCUSDT,-525.43000000,-1.121,46314.24353198,46862.86000000,46337.43000000,0.00102000,46337.43000000,0.16791000,46337.44000000,1.10092000,46862.86000000,47070.00000000,45500.00000000,29533.94181000,1367842173.44777170,1641315312730,1641401712730,1210690143,1211618975,928833
24hrTicker,1641401714016,BTCUSDT,-525.39000000,-1.121,46314.24272854,46862.86000000,46337.43000000,0.00309000,46337.43000000,1.19984000,46337.44000000,0.02071000,46862.82000000,47070.00000000,45500.00000000,29533.90054000,1367840238.33003670,1641315314001,1641401714001,1210690171,1211618977,928807
24hrTicker,1641401715006,BTCUSDT,-522.61000000,-1.115,46314.24166539,46860.04000000,46337.43000000,0.02021000,46337.43000000,0.25121000,46337.44000000,0.67581000,46860.04000000,47070.00000000,45500.00000000,29533.87617000,1367839078.25299570,1641315315002,1641401715002,1210690181,1211618984,928804
24hrTicker,1641401715968,BTCUSDT,-522.60000000,-1.115,46314.23675767,46860.04000000,46337.44000000,0.01765000,46337.43000000,0.37573000,46337.44000000,0.26683000,46860.04000000,47070.00000000,45500.00000000,29533.65542000,1367828709.44121540,1641315315957,1641401715957,1210690188,1211618990,928803
24hrTicker,1641401717012,BTCUSDT,-522.61000000,-1.115,46314.23203081,46860.03000000,46337.43000000,0.00449000,46337.43000000,0.39773000,46337.44000000,0.17725000,46860.04000000,47070.00000000,45500.00000000,29533.40640000,1367817036.66989520,1641315316935,1641401716935,1210690206,1211618994,928789
24hrTicker,1641401718017,BTCUSDT,-513.77000000,-1.096,46314.23232535,46860.04000000,46346.27000000,0.00034000,46346.27000000,1.93337000,46346.28000000,0.00341000,46860.04000000,47070.00000000,45500.00000000,29533.74477000,1367832716.71543500,1641315317830,1641401717830,1210690207,1211619007,928801
24hrTicker,1641401719007,BTCUSDT,-509.64000000,-1.088,46314.23188839,46860.04000000,46350.40000000,0.01006000,46350.40000000,0.12551000,46350.41000000,0.52497000,46860.04000000,47070.00000000,45500.00000000,29533.80947000,1367835700.34105400,1641315318557,1641401718557,1210690213,1211619016,928804
24hrTicker,1641401720015,BTCUSDT,-509.63000000,-1.088,46314.23194367,46860.04000000,46350.40000000,0.03210000,46350.40000000,0.22535000,46350.41000000,0.31237000,46860.03000000,47070.00000000,45500.00000000,29533.86518000,1367838282.13962870,1641315319906,1641401719906,1210690214,1211619022,928809
24hrTicker,1641401721017,BTCUSDT,-509.63000000,-1.088,46314.22738736,46860.03000000,46350.41000000,0.00052000,46350.40000000,1.75691000,46350.41000000,0.00950000,46860.04000000,47070.00000000,45500.00000000,29533.68102000,1367829618.34597050,1641315320987,1641401720987,1210690220,1211619027,928808
24hrTicker,1641401722016,BTCUSDT,-509.62000000,-1.088,46314.22712643,46860.04000000,46350.41000000,0.00116000,46350.40000000,0.73812000,46350.41000000,0.37518000,46860.03000000,47070.00000000,45500.00000000,29533.70003000,1367830491.07331530,1641315322011,1641401722011,1210690223,1211619034,928812
24hrTicker,1641401723012,BTCUSDT,-509.63000000,-1.088,46314.22691343,46860.04000000,46350.41000000,0.00468000,46350.41000000,0.89679000,46350.42000000,0.01252000,46860.04000000,47070.00000000,45500.00000000,29533.78039000,1367834206.59394720,1641315323007,1641401723007,1210690228,1211619046,928819
24hrTicker,1641401724005,BTCUSDT,-512.43000000,-1.093,46314.22583175,46862.83000000,46350.41000000,0.00340000,46350.41000000,0.52688000,46350.42000000,0.30956000,46862.84000000,47070.00000000,45500.00000000,29533.73242000,1367831952.95440350,1641315323911,1641401723911,1210690234,1211619050,928817
24hrTicker,1641401725015,BTCUSDT,-512.41000000,-1.093,46314.22580094,46862.84000000,46350.42000000,0.01684000,46350.41000000,0.51672000,46350.42000000,0.15076000,46862.83000000,47070.00000000,45500.00000000,29533.75598000,1367833043.20747230,1641315324833,1641401724833,1210690236,1211619056,928821
24hrTicker,1641401726013,BTCUSDT,-512.42000000,-1.093,46314.22476339,46862.83000000,46350.41000000,0.01068000,46350.41000000,0.50604000,46350.42000000,0.23976000,46862.83000000,47070.00000000,45500.00000000,29533.71010000,1367830887.66818630,1641315325937,1641401725937,1210690242,1211619059,928818
24hrTicker,1641401727014,BTCUSDT,-502.59000000,-1.073,46314.20774257,46853.04000000,46350.45000000,0.02486000,46350.45000000,0.01192000,46350.46000000,0.96655000,46853.04000000,47070.00000000,45500.00000000,29532.82284000,1367789292.23620820,1641315326937,1641401726937,1210690265,1211619064,928800
